x y z
0.9911208288653413 0.9911208288653413 0.9911208288653413
0.0005215789322506 0.0005215789322506 0.4990536565085080
0.0005215789322506 0.4990536565085080 0.0005215789322506
0.9993007617854417 0.5019398127310168 0.5019398127310168
0.4990536565085080 0.0005215789322506 0.0005215789322506
0.5019398127310168 0.9993007617854417 0.5019398127310168
0.5019398127310168 0.5019398127310168 0.9993007617854417
0.2588791711346587 0.2588791711346587 0.9911208288653413
0.2494784210677494 0.2494784210677494 0.4990536565085080
0.2494784210677494 0.7509463434914920 0.0005215789322506
0.2506992382145583 0.7480601872689832 0.5019398127310168
0.7509463434914920 0.2494784210677494 0.0005215789322506
0.7480601872689832 0.2506992382145583 0.5019398127310168
0.7480601872689832 0.7480601872689832 0.9993007617854417
0.7502768153213495 0.7502768153213495 0.4997231846786505
0.2588791711346587 0.9911208288653413 0.2588791711346587
0.2494784210677494 0.0005215789322506 0.7509463434914920
0.2494784210677494 0.4990536565085080 0.2494784210677494
0.2506992382145583 0.5019398127310168 0.7480601872689832
0.7509463434914920 0.0005215789322506 0.2494784210677494
0.7480601872689832 0.9993007617854417 0.7480601872689832
0.7480601872689832 0.5019398127310168 0.2506992382145583
0.7502768153213495 0.4997231846786505 0.7502768153213495
0.9911208288653413 0.2588791711346587 0.2588791711346587
0.0005215789322506 0.2494784210677494 0.7509463434914920
0.0005215789322506 0.7509463434914920 0.2494784210677494
0.9993007617854417 0.7480601872689832 0.7480601872689832
0.4990536565085080 0.2494784210677494 0.2494784210677494
0.5019398127310168 0.2506992382145583 0.7480601872689832
0.5019398127310168 0.7480601872689832 0.2506992382145583
0.4997231846786505 0.7502768153213495 0.7502768153213495
0.4997231846786505 0.4997231846786505 0.4997231846786505
0.1250000000000000 0.1250000000000000 0.1250000000000000
